dataset,method,n_clusters,n_classes,largest_cluster_frac,cluster_collapse,cluster_degenerate,unique_mapped_classes,mapping_collapse,unassigned_clusters,train_majority_baseline,majority_baseline,gt_accuracy,pseudo_accuracy,lse_ratio,lse_lift,beats_majority,matches_majority,gt_beats_majority,nmi_train,failed,error
fri_c0_250_50,autoenc,2.0,2.0,0.52,False,False,2.0,False,0.0,0.53,0.54,0.82,0.48,0.585366,-0.214286,False,False,True,0.019258,,
fri_c0_250_50,dictlearn,2.0,2.0,0.73,False,False,2.0,False,0.0,0.53,0.54,0.82,0.48,0.585366,-0.214286,False,False,True,0.004588,,
artificial-characters,kmeans,10.0,10.0,0.200024,False,False,10.0,False,0.0,0.13861,0.138454,0.917808,0.194227,0.21162,0.071563,True,False,True,0.159707,,
artificial-characters,dbscan,47.0,10.0,0.801933,False,False,10.0,False,37.0,0.13861,0.138454,0.917808,0.225538,0.245736,0.111739,True,False,True,0.203639,,
artificial-characters,agg,10.0,10.0,0.175801,False,False,10.0,False,0.0,0.13861,0.138454,0.917808,0.203523,0.221748,0.08349,True,False,True,0.179123,,
artificial-characters,gmm,10.0,10.0,0.178003,False,False,10.0,False,0.0,0.13861,0.138454,0.917808,0.239237,0.260661,0.129316,True,False,True,0.232317,,
artificial-characters,autoenc,10.0,10.0,0.183509,False,False,10.0,False,0.0,0.13861,0.138454,0.917808,0.232387,0.253198,0.120527,True,False,True,0.171133,,
artificial-characters,dictlearn,10.0,10.0,0.179349,False,False,10.0,False,0.0,0.13861,0.138454,0.917808,0.216732,0.236141,0.100439,True,False,True,0.143757,,
qualitative-bankruptcy,kmeans,2.0,2.0,0.57,False,False,2.0,False,0.0,0.57,0.58,1.0,1.0,1.0,1.0,True,False,True,0.918191,,
qualitative-bankruptcy,dbscan,6.0,2.0,0.43,False,False,2.0,False,4.0,0.57,0.58,1.0,1.0,1.0,1.0,True,False,True,0.648844,,
qualitative-bankruptcy,agg,2.0,2.0,0.57,False,False,2.0,False,0.0,0.57,0.58,1.0,1.0,1.0,1.0,True,False,True,1.0,,
qualitative-bankruptcy,gmm,2.0,2.0,0.575,False,False,2.0,False,0.0,0.57,0.58,1.0,1.0,1.0,1.0,True,False,True,0.959019,,
qualitative-bankruptcy,autoenc,2.0,2.0,0.585,False,False,2.0,False,0.0,0.57,0.58,1.0,0.98,0.98,0.952381,True,False,True,0.835688,,
qualitative-bankruptcy,dictlearn,2.0,2.0,0.705,False,False,2.0,False,0.0,0.57,0.58,1.0,0.56,0.56,-0.047619,False,False,True,0.000716,,
GesturePhaseSegmentationProcessed,kmeans,5.0,5.0,0.736389,False,False,5.0,False,0.0,0.29881,0.298734,0.667342,0.346329,0.518968,0.129121,True,False,True,0.078322,,
GesturePhaseSegmentationProcessed,dbscan,2.0,5.0,0.99886,True,True,2.0,True,0.0,0.29881,0.298734,0.667342,0.298734,0.447648,0.0,False,True,True,0.001735,,
GesturePhaseSegmentationProcessed,agg,5.0,5.0,0.769942,False,False,5.0,False,0.0,0.29881,0.298734,0.667342,0.330127,0.494689,0.085165,True,False,True,0.068348,,
GesturePhaseSegmentationProcessed,gmm,5.0,5.0,0.350722,False,False,5.0,False,0.0,0.29881,0.298734,0.667342,0.310886,0.465857,0.032967,True,False,True,0.065135,,
GesturePhaseSegmentationProcessed,autoenc,5.0,5.0,0.698785,False,False,5.0,False,0.0,0.29881,0.298734,0.667342,0.357975,0.536419,0.160714,True,False,True,0.070626,,
GesturePhaseSegmentationProcessed,dictlearn,5.0,5.0,0.411623,False,False,5.0,False,0.0,0.29881,0.298734,0.667342,0.334684,0.501517,0.097527,True,False,True,0.044185,,
Flare,kmeans,6.0,6.0,0.352113,False,False,6.0,False,0.0,0.311033,0.308411,0.724299,0.714953,0.987097,0.977528,True,False,True,0.542984,,
Flare,dbscan,7.0,6.0,0.860329,False,False,6.0,False,1.0,0.311033,0.308411,0.724299,0.327103,0.451613,0.044944,True,False,True,0.082359,,
Flare,agg,6.0,6.0,0.688967,False,False,6.0,False,0.0,0.311033,0.308411,0.724299,0.38785,0.535484,0.191011,True,False,True,0.188208,,
Flare,gmm,6.0,6.0,0.34507,False,False,6.0,False,0.0,0.311033,0.308411,0.724299,0.570093,0.787097,0.629213,True,False,True,0.488771,,
Flare,autoenc,6.0,6.0,0.678404,False,False,6.0,False,0.0,0.311033,0.308411,0.724299,0.406542,0.56129,0.235955,True,False,True,0.237064,,
Flare,dictlearn,6.0,6.0,0.372066,False,False,6.0,False,0.0,0.311033,0.308411,0.724299,0.434579,0.6,0.303371,True,False,True,0.101157,,
diggle_table_a2,kmeans,9.0,9.0,0.177419,False,False,9.0,False,0.0,0.133065,0.129032,0.903226,0.354839,0.392857,0.291667,True,False,True,0.649079,,
diggle_table_a2,dbscan,7.0,9.0,0.342742,True,False,7.0,True,0.0,0.133065,0.129032,0.903226,0.532258,0.589286,0.520833,True,False,True,0.720345,,
diggle_table_a2,agg,9.0,9.0,0.177419,False,False,9.0,False,0.0,0.133065,0.129032,0.903226,0.370968,0.410714,0.3125,True,False,True,0.646949,,
diggle_table_a2,gmm,9.0,9.0,0.185484,False,False,9.0,False,0.0,0.133065,0.129032,0.903226,0.516129,0.571429,0.5,True,False,True,0.677304,,
diggle_table_a2,autoenc,9.0,9.0,0.177419,False,False,9.0,False,0.0,0.133065,0.129032,0.903226,0.403226,0.446429,0.354167,True,False,True,0.620787,,
diggle_table_a2,dictlearn,9.0,9.0,0.169355,False,False,9.0,False,0.0,0.133065,0.129032,0.903226,0.290323,0.321429,0.208333,True,False,True,0.419103,,
kdd_ipums_la_97-small,kmeans,2.0,2.0,0.980723,False,True,2.0,False,0.0,0.5,0.5,0.885356,0.50289,0.568009,0.0075,False,True,True,0.002681,,
kdd_ipums_la_97-small,dbscan,205.0,2.0,0.26,False,False,2.0,False,203.0,0.5,0.5,0.885356,0.604046,0.682263,0.27,True,False,True,0.015828,,
kdd_ipums_la_97-small,agg,2.0,2.0,0.618795,False,False,2.0,False,0.0,0.5,0.5,0.885356,0.60501,0.683351,0.2725,True,False,True,0.017282,,
kdd_ipums_la_97-small,gmm,2.0,2.0,0.966747,False,True,2.0,False,0.0,0.5,0.5,0.885356,0.498073,0.562568,-0.005,False,True,True,9e-06,,
kdd_ipums_la_97-small,autoenc,2.0,2.0,0.871084,False,False,2.0,False,0.0,0.5,0.5,0.885356,0.522158,0.589771,0.0575,True,False,True,0.007805,,
kdd_ipums_la_97-small,dictlearn,2.0,2.0,0.99759,False,True,2.0,False,0.0,0.5,0.5,0.885356,0.5,0.564744,0.0,False,True,True,0.000137,,
Touch2,kmeans,8.0,8.0,0.334906,False,False,8.0,False,0.0,0.179245,0.169811,0.90566,0.471698,0.520833,0.410256,True,False,True,0.392297,,
Touch2,dbscan,2.0,8.0,0.966981,True,True,2.0,True,0.0,0.179245,0.169811,0.90566,0.169811,0.1875,0.0,False,True,True,0.072858,,
Touch2,agg,8.0,8.0,0.386792,False,False,8.0,False,0.0,0.179245,0.169811,0.90566,0.45283,0.5,0.384615,True,False,True,0.381289,,
Touch2,gmm,8.0,8.0,0.29717,False,False,8.0,False,0.0,0.179245,0.169811,0.90566,0.490566,0.541667,0.435897,True,False,True,0.380139,,
Touch2,autoenc,8.0,8.0,0.306604,False,False,8.0,False,0.0,0.179245,0.169811,0.90566,0.433962,0.479167,0.358974,True,False,True,0.355441,,
Touch2,dictlearn,8.0,8.0,0.278302,False,False,8.0,False,0.0,0.179245,0.169811,0.90566,0.377358,0.416667,0.282051,True,False,True,0.274575,,
Mobile_Price,kmeans,4.0,4.0,0.388125,False,False,4.0,False,0.0,0.25,0.25,0.8725,0.245,0.280802,-0.008032,False,True,True,0.000355,,
Mobile_Price,dbscan,8.0,4.0,0.925625,False,True,4.0,False,4.0,0.25,0.25,0.8725,0.2475,0.283668,-0.004016,False,True,True,0.009433,,
Mobile_Price,agg,4.0,4.0,0.32125,False,False,4.0,False,0.0,0.25,0.25,0.8725,0.24,0.275072,-0.016064,False,False,True,0.001788,,
Mobile_Price,gmm,4.0,4.0,0.388125,False,False,4.0,False,0.0,0.25,0.25,0.8725,0.2325,0.266476,-0.028112,False,False,True,0.000638,,
Mobile_Price,autoenc,4.0,4.0,0.29125,False,False,4.0,False,0.0,0.25,0.25,0.8725,0.2375,0.272206,-0.02008,False,False,True,0.001748,,
Mobile_Price,dictlearn,4.0,4.0,0.27875,False,False,4.0,False,0.0,0.25,0.25,0.8725,0.235,0.269341,-0.024096,False,False,True,0.001806,,
albert,kmeans,2.0,2.0,0.748911,False,False,2.0,False,0.0,0.500011,0.500043,0.66063,0.522444,0.790828,0.139498,True,False,True,0.001619,,
albert,dbscan,26.0,2.0,0.916654,False,True,2.0,False,24.0,0.500011,0.500043,0.66063,0.516093,0.781213,0.099947,True,False,True,0.007927,,
albert,agg,2.0,2.0,0.996717,False,True,2.0,False,0.0,0.500011,0.500043,0.66063,0.50133,0.758867,0.008017,False,True,True,0.001221,,
albert,gmm,2.0,2.0,0.999914,False,True,2.0,False,0.0,0.500011,0.500043,0.66063,0.499957,0.756788,-0.000534,False,True,True,3.2e-05,,
albert,autoenc,2.0,2.0,0.998949,False,True,2.0,False,0.0,0.500011,0.500043,0.66063,0.499871,0.756658,-0.001069,False,True,True,5.1e-05,,
albert,dictlearn,2.0,2.0,0.999871,False,True,2.0,False,0.0,0.500011,0.500043,0.66063,0.500043,0.756918,0.0,False,True,True,2.1e-05,,
ecoli,kmeans,8.0,8.0,0.227612,False,False,8.0,False,0.0,0.425373,0.426471,0.867647,0.676471,0.779661,0.566667,True,False,True,0.594107,,
ecoli,dbscan,3.0,8.0,0.634328,True,False,3.0,True,0.0,0.425373,0.426471,0.867647,0.705882,0.813559,0.633333,True,False,True,0.526332,,
ecoli,agg,8.0,8.0,0.421642,False,False,8.0,False,0.0,0.425373,0.426471,0.867647,0.867647,1.0,1.0,True,False,True,0.691713,,
ecoli,gmm,8.0,8.0,0.391791,False,False,8.0,False,0.0,0.425373,0.426471,0.867647,0.705882,0.813559,0.633333,True,False,True,0.597759,,
ecoli,autoenc,8.0,8.0,0.216418,False,False,8.0,False,0.0,0.425373,0.426471,0.867647,0.661765,0.762712,0.533333,True,False,True,0.554231,,
ecoli,dictlearn,8.0,8.0,0.313433,False,False,8.0,False,0.0,0.425373,0.426471,0.867647,0.661765,0.762712,0.533333,True,False,True,0.394864,,
electricity,kmeans,2.0,2.0,0.643166,False,False,2.0,False,0.0,0.500016,0.500065,0.902144,0.582326,0.645491,0.20459,True,False,True,0.024966,,
electricity,dbscan,95.0,2.0,0.056402,False,False,2.0,False,93.0,0.500016,0.500065,0.902144,0.535023,0.593057,0.086942,True,False,True,0.009263,,
electricity,agg,2.0,2.0,0.714513,False,False,2.0,False,0.0,0.500016,0.500065,0.902144,0.505393,0.560213,0.013251,False,True,True,0.000873,,
electricity,gmm,2.0,2.0,0.574093,False,False,2.0,False,0.0,0.500016,0.500065,0.902144,0.524366,0.581245,0.06044,True,False,True,0.000375,,
electricity,autoenc,2.0,2.0,0.571981,False,False,2.0,False,0.0,0.500016,0.500065,0.902144,0.503054,0.55762,0.007434,False,True,True,6.3e-05,,
electricity,dictlearn,2.0,2.0,0.941908,False,True,2.0,False,0.0,0.500016,0.500065,0.902144,0.552697,0.612648,0.130899,True,False,True,0.057231,,
volcanoes-a1,kmeans,5.0,5.0,0.226067,False,False,5.0,False,0.0,0.907728,0.907834,0.990783,0.261137,0.263566,-7.796296,False,False,True,0.124593,,
volcanoes-a1,dbscan,13.0,5.0,0.917724,False,True,5.0,False,8.0,0.907728,0.907834,0.990783,0.926267,0.934884,0.222222,True,False,True,0.294059,,
volcanoes-a1,agg,5.0,5.0,0.294887,False,False,5.0,False,0.0,0.907728,0.907834,0.990783,0.327189,0.330233,-7.0,False,False,True,0.111788,,
volcanoes-a1,gmm,5.0,5.0,0.237985,False,False,5.0,False,0.0,0.907728,0.907834,0.990783,0.267281,0.269767,-7.722222,False,False,True,0.109828,,
volcanoes-a1,autoenc,5.0,5.0,0.237601,False,False,5.0,False,0.0,0.907728,0.907834,0.990783,0.281106,0.283721,-7.555556,False,False,True,0.118261,,
volcanoes-a1,dictlearn,5.0,5.0,0.380238,False,False,5.0,False,0.0,0.907728,0.907834,0.990783,0.373272,0.376744,-6.444444,False,False,True,0.102055,,
FOREX_eurchf-hour-High,,,,,,,,,,,,,,,,,,,,True,dataset_timeout_over_300s
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,kmeans,2.0,2.0,0.724375,False,False,2.0,False,0.0,0.5,0.5,0.8025,0.54,0.672897,0.132231,True,False,True,0.038259,,
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,dbscan,2.0,2.0,0.993125,False,True,2.0,False,0.0,0.5,0.5,0.8025,0.5,0.623053,0.0,False,True,True,0.004128,,
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,agg,2.0,2.0,0.774375,False,False,2.0,False,0.0,0.5,0.5,0.8025,0.53,0.660436,0.099174,True,False,True,0.005529,,
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,gmm,2.0,2.0,0.626875,False,False,2.0,False,0.0,0.5,0.5,0.8025,0.53,0.660436,0.099174,True,False,True,0.000653,,
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,autoenc,2.0,2.0,0.7775,False,False,2.0,False,0.0,0.5,0.5,0.8025,0.5325,0.663551,0.107438,True,False,True,0.005006,,
wine_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,dictlearn,2.0,2.0,0.596875,False,False,2.0,False,0.0,0.5,0.5,0.8025,0.5025,0.626168,0.008264,False,True,True,0.014159,,
jannis,,,,,,,,,,,,,,,,,,,,True,dataset_timeout_over_300s
nursery,kmeans,5.0,5.0,0.203125,False,False,5.0,False,0.0,0.333333,0.333333,0.987269,0.297454,0.30129,-0.054867,False,False,True,0.095755,,
nursery,dbscan,161.0,5.0,0.009163,False,False,5.0,False,156.0,0.333333,0.333333,0.987269,0.474923,0.481047,0.216519,True,False,True,0.061394,,
nursery,agg,5.0,5.0,0.201196,False,False,5.0,False,0.0,0.333333,0.333333,0.987269,0.302083,0.305979,-0.047788,False,False,True,0.093642,,
nursery,gmm,5.0,5.0,0.250965,False,False,5.0,False,0.0,0.333333,0.333333,0.987269,0.273534,0.277061,-0.091445,False,False,True,0.003767,,
nursery,autoenc,5.0,5.0,0.267843,False,False,5.0,False,0.0,0.333333,0.333333,0.987269,0.26196,0.265338,-0.109145,False,False,True,0.045347,,
nursery,dictlearn,5.0,5.0,0.21113,False,False,5.0,False,0.0,0.333333,0.333333,0.987269,0.225309,0.228214,-0.165192,False,False,True,0.006426,,
steel-plates-fault_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,kmeans,7.0,7.0,0.239691,False,False,7.0,False,0.0,0.346649,0.347044,0.802057,0.460154,0.573718,0.248588,True,False,True,0.340442,,
steel-plates-fault_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,dbscan,4.0,7.0,0.820232,True,False,4.0,True,0.0,0.346649,0.347044,0.802057,0.478149,0.596154,0.288136,True,False,True,0.306857,,
steel-plates-fault_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,agg,7.0,7.0,0.344716,False,False,7.0,False,0.0,0.346649,0.347044,0.802057,0.40617,0.50641,0.129944,True,False,True,0.317927,,
steel-plates-fault_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,gmm,7.0,7.0,0.224227,False,False,7.0,False,0.0,0.346649,0.347044,0.802057,0.431877,0.538462,0.186441,True,False,True,0.285215,,
steel-plates-fault_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,autoenc,7.0,7.0,0.204897,False,False,7.0,False,0.0,0.346649,0.347044,0.802057,0.354756,0.442308,0.016949,False,True,True,0.241861,,
steel-plates-fault_seed_2_nrows_2000_nclasses_10_ncols_100_stratify_True,dictlearn,7.0,7.0,0.262242,False,False,7.0,False,0.0,0.346649,0.347044,0.802057,0.311054,0.387821,-0.079096,False,False,True,0.17493,,
PhishingWebsites_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,kmeans,2.0,2.0,0.8175,False,False,2.0,False,0.0,0.556875,0.5575,0.94,0.555,0.590426,-0.006536,False,True,True,0.002214,,
PhishingWebsites_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,dbscan,2.0,2.0,0.981875,False,True,2.0,False,0.0,0.556875,0.5575,0.94,0.58,0.617021,0.058824,True,False,True,0.018084,,
PhishingWebsites_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,agg,2.0,2.0,0.70875,False,False,2.0,False,0.0,0.556875,0.5575,0.94,0.5,0.531915,-0.150327,False,False,True,0.00227,,
PhishingWebsites_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,gmm,2.0,2.0,0.78875,False,False,2.0,False,0.0,0.556875,0.5575,0.94,0.55,0.585106,-0.019608,False,True,True,0.001593,,
PhishingWebsites_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,autoenc,2.0,2.0,0.70375,False,False,2.0,False,0.0,0.556875,0.5575,0.94,0.5025,0.534574,-0.143791,False,False,True,0.00048,,
PhishingWebsites_seed_4_nrows_2000_nclasses_10_ncols_100_stratify_True,dictlearn,2.0,2.0,0.71125,False,False,2.0,False,0.0,0.556875,0.5575,0.94,0.5425,0.577128,-0.039216,False,False,True,0.000631,,
dataset_credit,kmeans,2.0,2.0,0.994316,False,True,2.0,False,0.0,0.500037,0.50015,0.775651,0.50344,0.649055,0.011944,False,True,True,0.007636,,
dataset_credit,dbscan,38.0,2.0,0.225488,False,False,2.0,False,36.0,0.500037,0.50015,0.775651,0.546515,0.704589,0.168295,True,False,True,0.011538,,
dataset_credit,agg,2.0,2.0,0.994316,False,True,2.0,False,0.0,0.500037,0.50015,0.775651,0.50344,0.649055,0.011944,False,True,True,0.007636,,
dataset_credit,gmm,2.0,2.0,0.966943,False,True,2.0,False,0.0,0.500037,0.50015,0.775651,0.506132,0.652526,0.021716,False,True,True,0.006796,,
dataset_credit,autoenc,2.0,2.0,0.993344,False,True,2.0,False,0.0,0.500037,0.50015,0.775651,0.50344,0.649055,0.011944,False,True,True,0.005437,,
dataset_credit,dictlearn,2.0,2.0,0.60362,False,False,2.0,False,0.0,0.500037,0.50015,0.775651,0.54472,0.702275,0.161781,True,False,True,0.005566,,
california,kmeans,2.0,2.0,0.581511,False,False,2.0,False,0.0,0.50003,0.500121,0.8866,0.536952,0.60563,0.095298,True,False,True,0.003502,,
california,dbscan,11.0,2.0,0.980735,False,True,2.0,False,9.0,0.50003,0.500121,0.8866,0.502544,0.566822,0.00627,False,True,True,0.010895,,
california,agg,2.0,2.0,0.625008,False,False,2.0,False,0.0,0.50003,0.500121,0.8866,0.510056,0.575294,0.025705,False,True,True,0.000531,,
california,gmm,2.0,2.0,0.731932,False,False,2.0,False,0.0,0.50003,0.500121,0.8866,0.568452,0.641159,0.176803,True,False,True,0.016385,,
california,autoenc,2.0,2.0,0.567274,False,False,2.0,False,0.0,0.50003,0.500121,0.8866,0.54519,0.614922,0.116614,True,False,True,0.004959,,
california,dictlearn,2.0,2.0,0.812686,False,False,2.0,False,0.0,0.50003,0.500121,0.8866,0.498667,0.562449,-0.003762,False,True,True,0.000223,,
ailerons,kmeans,2.0,2.0,0.854,False,False,2.0,False,0.0,0.576182,0.576,0.887636,0.682545,0.768947,0.34189,True,False,True,0.12366,,
ailerons,dbscan,3.0,2.0,0.996182,False,True,2.0,False,1.0,0.576182,0.576,0.887636,0.578182,0.651372,0.007001,False,True,True,0.007051,,
ailerons,agg,2.0,2.0,0.802818,False,False,2.0,False,0.0,0.576182,0.576,0.887636,0.705091,0.794347,0.414236,True,False,True,0.127922,,
ailerons,gmm,2.0,2.0,0.997,False,True,2.0,False,0.0,0.576182,0.576,0.887636,0.577091,0.650143,0.003501,False,True,True,0.003874,,
ailerons,autoenc,2.0,2.0,0.829455,False,False,2.0,False,0.0,0.576182,0.576,0.887636,0.650182,0.732487,0.23804,True,False,True,0.059459,,
ailerons,dictlearn,2.0,2.0,0.999545,False,True,2.0,False,0.0,0.576182,0.576,0.887636,0.576,0.648914,0.0,False,True,True,8.3e-05,,
car_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,kmeans,4.0,4.0,0.257598,False,False,4.0,False,0.0,0.700434,0.699422,0.968208,0.343931,0.355224,-1.322581,False,False,True,0.045216,,
car_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,dbscan,64.0,4.0,0.019537,False,False,4.0,False,60.0,0.700434,0.699422,0.968208,0.67052,0.692537,-0.107527,False,False,True,0.080213,,
car_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,agg,4.0,4.0,0.429088,False,False,4.0,False,0.0,0.700434,0.699422,0.968208,0.346821,0.358209,-1.311828,False,False,True,0.050788,,
car_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,gmm,4.0,4.0,0.259768,False,False,4.0,False,0.0,0.700434,0.699422,0.968208,0.271676,0.280597,-1.591398,False,False,True,0.063645,,
car_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,autoenc,4.0,4.0,0.259045,False,False,4.0,False,0.0,0.700434,0.699422,0.968208,0.271676,0.280597,-1.591398,False,False,True,0.021434,,
car_seed_1_nrows_2000_nclasses_10_ncols_100_stratify_True,dictlearn,4.0,4.0,0.342981,False,False,4.0,False,0.0,0.700434,0.699422,0.968208,0.421965,0.435821,-1.032258,False,False,True,0.04203,,
maternal_health_risk,kmeans,3.0,3.0,0.489519,False,False,3.0,False,0.0,0.40074,0.399015,0.862069,0.497537,0.577143,0.212766,True,False,True,0.145238,,
maternal_health_risk,dbscan,23.0,3.0,0.559803,False,False,3.0,False,20.0,0.40074,0.399015,0.862069,0.581281,0.674286,0.393617,True,False,True,0.232182,,
maternal_health_risk,agg,3.0,3.0,0.434032,False,False,3.0,False,0.0,0.40074,0.399015,0.862069,0.492611,0.571429,0.202128,True,False,True,0.142935,,
maternal_health_risk,gmm,3.0,3.0,0.59926,False,False,3.0,False,0.0,0.40074,0.399015,0.862069,0.581281,0.674286,0.393617,True,False,True,0.213334,,
maternal_health_risk,autoenc,3.0,3.0,0.540074,False,False,3.0,False,0.0,0.40074,0.399015,0.862069,0.581281,0.674286,0.393617,True,False,True,0.198948,,
maternal_health_risk,dictlearn,3.0,3.0,0.543773,False,False,3.0,False,0.0,0.40074,0.399015,0.862069,0.403941,0.468571,0.010638,False,True,True,0.029157,,
qsar-biodeg,kmeans,2.0,2.0,0.799526,False,False,2.0,False,0.0,0.663108,0.663507,0.905213,0.535545,0.591623,-0.529412,False,False,True,0.129479,,
qsar-biodeg,dbscan,7.0,2.0,0.906287,False,True,2.0,False,5.0,0.663108,0.663507,0.905213,0.620853,0.685864,-0.176471,False,False,True,0.048755,,
qsar-biodeg,agg,2.0,2.0,0.946619,False,True,2.0,False,0.0,0.663108,0.663507,0.905213,0.625592,0.691099,-0.156863,False,False,True,0.033996,,
qsar-biodeg,gmm,2.0,2.0,0.811388,False,False,2.0,False,0.0,0.663108,0.663507,0.905213,0.554502,0.612565,-0.45098,False,False,True,0.096386,,
qsar-biodeg,autoenc,2.0,2.0,0.876631,False,False,2.0,False,0.0,0.663108,0.663507,0.905213,0.516588,0.570681,-0.607843,False,False,True,0.080162,,
qsar-biodeg,dictlearn,2.0,2.0,0.854093,False,False,2.0,False,0.0,0.663108,0.663507,0.905213,0.606635,0.670157,-0.235294,False,False,True,0.027003,,
newton_hema,kmeans,2.0,2.0,0.901786,False,True,2.0,False,0.0,0.5,0.5,0.785714,0.5,0.636364,0.0,False,True,True,0.000889,,
newton_hema,dbscan,10.0,2.0,0.160714,False,False,2.0,False,8.0,0.5,0.5,0.785714,0.714286,0.909091,0.75,True,False,True,0.191827,,
newton_hema,agg,2.0,2.0,0.901786,False,True,2.0,False,0.0,0.5,0.5,0.785714,0.5,0.636364,0.0,False,True,True,0.000889,,
newton_hema,gmm,2.0,2.0,0.901786,False,True,2.0,False,0.0,0.5,0.5,0.785714,0.5,0.636364,0.0,False,True,True,0.000889,,
newton_hema,autoenc,2.0,2.0,0.758929,False,False,2.0,False,0.0,0.5,0.5,0.785714,0.571429,0.727273,0.25,True,False,True,0.017297,,
newton_hema,dictlearn,2.0,2.0,0.901786,False,True,2.0,False,0.0,0.5,0.5,0.785714,0.607143,0.772727,0.375,True,False,True,0.144803,,
GesturePhaseSegmentationProcessed_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,kmeans,5.0,5.0,0.75875,False,False,5.0,False,0.0,0.29875,0.3,0.5625,0.3575,0.635556,0.219048,True,False,True,0.065607,,
GesturePhaseSegmentationProcessed_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,dbscan,2.0,5.0,0.984375,True,True,2.0,True,0.0,0.29875,0.3,0.5625,0.295,0.524444,-0.019048,False,True,True,0.004629,,
GesturePhaseSegmentationProcessed_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,agg,5.0,5.0,0.85375,False,False,5.0,False,0.0,0.29875,0.3,0.5625,0.3225,0.573333,0.085714,True,False,True,0.050664,,
GesturePhaseSegmentationProcessed_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,gmm,5.0,5.0,0.374375,False,False,5.0,False,0.0,0.29875,0.3,0.5625,0.39,0.693333,0.342857,True,False,True,0.059355,,
GesturePhaseSegmentationProcessed_seed_3_nrows_2000_nclasses_10_ncols_100_stratify_True,autoenc,5.0,5.0,0.655625,False,False,5.0,False,0.0,0.29875,0.3,0.5625,0.4275,0.76,0.485714,True,False,True,0.072662,,
